Condition,Model,Batch_ID,Regime,Rows,MAE,RMSE,R2
Normal,Fault-aware HGB,14,Recipe,1150,0.809869147715475,1.1965919920325205,0.9854928824452333
Normal,Fault-aware HGB,15,Recipe,905,0.2888214303227572,0.3954445444817863,0.9982870165332388
Normal,Fault-aware HGB,16,Recipe,1150,0.48255634812029424,0.639365655161551,0.9966395217556208
Normal,Fault-aware HGB,17,Recipe,940,0.44758695056163034,0.6457226399106945,0.9947930949864181
Normal,Fault-aware HGB,18,Recipe,1150,1.9215703579537144,2.5786571713158546,0.7999143266242567
Normal,Fault-aware HGB,19,Recipe,1035,0.7543032562798265,1.1328915854926653,0.9817410984852508
Normal,Fault-aware HGB,20,Recipe,1150,0.9582170270064216,1.27954142036459,0.9843849346299102
Normal,Fault-aware HGB,21,Recipe,1140,2.108835422472442,3.746920815745582,0.8469529586025754
Normal,Fault-aware HGB,22,Recipe,1150,0.7509372650278537,0.9322558889936169,0.9931234062039183
Normal,Fault-aware HGB,23,Recipe,1320,1.6507296425876004,1.9917226882583812,0.974050051852934
Normal,Fault-aware HGB,24,Recipe,1150,1.222921643461489,1.944599926852374,0.9430330303415551
Normal,Fault-aware HGB,25,Recipe,1305,2.924895835176219,4.063239245239125,0.6825203969900387
Normal,Fault-aware HGB,26,Recipe,1150,0.350593296437093,0.4872610281908549,0.9979218996458318
Normal,Fault-aware HGB,27,Recipe,1055,1.7957283019431658,2.2340268745233853,0.9394008609792783
Normal,Fault-aware HGB,28,Recipe,1150,0.7338540172672279,1.0587686864549615,0.985833324759337
Normal,Fault-aware HGB,29,Recipe,1450,2.148244786557992,2.658819382297121,0.9564977139833687
Normal,Fault-aware HGB,30,Recipe,1150,1.4541563960399628,2.156499158986403,0.857079410864102
Normal,Fault-aware HGB,31,Operator,1250,2.1444849262834795,2.676132705965473,0.9533471262526656
Normal,Fault-aware HGB,32,Operator,1150,1.0112221578261318,1.2808904654351456,0.9866406949498503
Normal,Fault-aware HGB,33,Operator,1300,1.37023791296123,2.3713302914156014,0.9065350546159109
Normal,Fault-aware HGB,34,Operator,1150,1.242327154739405,1.8825005196952804,0.9363978098465021
Normal,Fault-aware HGB,35,Operator,980,0.4622916391848626,0.6071832591318083,0.9958395163958004
Normal,Fault-aware HGB,36,Operator,1150,1.3987021732334481,2.614059508009806,0.8681566878709949
Normal,Fault-aware HGB,37,Operator,1050,0.832996327595326,1.2787778735435036,0.9784183834980825
Normal,Fault-aware HGB,38,Operator,1150,0.44420027669560064,0.8092869573043647,0.993121861973554
Normal,Fault-aware HGB,39,Operator,1175,1.2440823973391104,2.062147095475452,0.9623755722023264
Normal,Fault-aware HGB,40,Operator,1150,0.8712086952009217,1.52031248409233,0.9665994251138413
Normal,Fault-aware HGB,41,Operator,1215,1.651534562074663,1.9558410850074979,0.9646680840872612
Normal,Fault-aware HGB,42,Operator,1150,2.7529781551012906,3.7765830398219356,0.5969226449987786
Normal,Fault-aware HGB,43,Operator,1155,2.4888236875163345,3.4557714449165142,0.735462864488357
Normal,Fault-aware HGB,44,Operator,1150,2.7910998016675785,4.523981294053763,0.5627992236970691
Normal,Fault-aware HGB,45,Operator,1310,2.4833620661785614,3.226807489633754,0.3810569000239211
Normal,Fault-aware HGB,46,Operator,1150,0.6300623377000447,1.1129155083362714,0.9896926316427359
Normal,Fault-aware HGB,47,Operator,1140,1.2945971875860918,1.9727107525182948,0.9516876327337008
Normal,Fault-aware HGB,48,Operator,1150,1.9628476018626455,2.5448869895029786,0.957104356009194
Normal,Fault-aware HGB,49,Operator,1160,1.2974133528949627,2.236772334104684,0.9244431504295552
Normal,Fault-aware HGB,50,Operator,1150,0.8645338140244926,1.7130366782020976,0.9726461351060157
Normal,Fault-aware HGB,51,Operator,1125,1.1671646698738587,1.572622972557859,0.9107591216827525
Normal,Fault-aware HGB,52,Operator,1150,0.7659154617904451,1.4614448495898715,0.9750208688131972
Normal,Fault-aware HGB,53,Operator,965,0.670028084724374,0.8718993822545743,0.9925323820477683
Normal,Fault-aware HGB,54,Operator,1150,0.8872443220449773,1.2810789210530713,0.9799110797462626
Normal,Fault-aware HGB,55,Operator,1120,0.8469384270900828,1.1100384593795378,0.9873902402114559
Normal,Fault-aware HGB,56,Operator,1150,0.643518095129768,1.136253788390743,0.9883858932123923
Normal,Fault-aware HGB,57,Operator,1170,1.3157570937600753,1.8185265996488766,0.9750967104050766
