Batch_ID,Rows,Median_Fault_Risk,Maximum_Fault_Risk,Fault_Warning_Rate,Median_OOD_Score,OOD_95pct_Score,OOD_Flag_Rate,Documented_Group,OOD_Threshold
91,1290,0.9771015154379695,0.9960644254584585,0.9186046511627907,0.45411869772715585,0.5846630332101581,0.030232558139534883,Fault,0.6268293842323848
92,1150,0.7856266877281485,0.9794889021682566,0.6521739130434783,0.4160747054230426,0.6686108452884714,0.11826086956521739,Fault,0.6268293842323848
93,1050,0.8556935354870914,0.9887153253010623,0.7076190476190476,0.41039251684669575,0.7040769467222433,0.09047619047619047,Fault,0.6268293842323848
94,1150,0.9491177637067629,0.9938571615214777,0.8939130434782608,0.44517898104128245,0.6841131664805181,0.12173913043478261,Fault,0.6268293842323848
95,1055,0.9741440892937033,0.9975597867725783,0.9004739336492891,0.4595216244762379,0.5766999171905447,0.022748815165876776,Fault,0.6268293842323848
96,1150,0.7588384280494418,0.9765646377644132,0.6721739130434783,0.3910539628132575,0.6958872238700932,0.0782608695652174,Fault,0.6268293842323848
97,1125,0.7956997751927749,0.9966148721522167,0.8977777777777778,0.39051535657399217,0.49266347436720526,0.019555555555555555,Fault,0.6268293842323848
98,1150,0.7033491103845539,0.9693439270600736,0.6373913043478261,0.39100318993671446,0.6377200671567463,0.06260869565217392,Fault,0.6268293842323848
99,1255,0.9097831890513539,0.9942289257589737,0.8972111553784861,0.43560215793885987,0.6357979228533394,0.05976095617529881,Fault,0.6268293842323848
100,1150,0.8390268310882845,0.9937490967520713,0.8617391304347826,0.40123024218409453,0.6200831541318905,0.04608695652173913,Fault,0.6268293842323848
