Model,Dataset,Batch_ID,Rows,MAE,RMSE,R2
Random Forest,Fault Test,97,1125,1.155427672746386,1.5579254100116584,0.9648651661121014
Random Forest,Fault Test,98,1150,1.3006605257363453,2.1487981688907745,0.9651039536259324
Random Forest,Fault Test,99,1255,3.0253804838878464,4.052566457754953,-0.01949114034245847
Random Forest,Fault Test,100,1150,5.551701841053835,7.562669233584216,-3.5314790959120117
HistGradientBoosting,Normal Test,2,1150,0.7119132867198578,1.0925356566527398,0.9895601862992496
HistGradientBoosting,Normal Test,5,895,0.2669230617886125,0.3728990797498721,0.9984626503604432
HistGradientBoosting,Normal Test,9,1260,3.3710018004225595,4.093862189144186,0.22112502050673788
HistGradientBoosting,Normal Test,14,1150,0.8050284242103269,1.1477849495213306,0.9866521905696631
HistGradientBoosting,Normal Test,28,1150,0.9134691712380185,1.4896341360716023,0.9719569663379185
HistGradientBoosting,Normal Test,34,1150,1.199199699484586,1.8657896581386892,0.9375219848064515
HistGradientBoosting,Normal Test,45,1310,3.498507055686793,4.325865607411449,-0.11237356402473275
HistGradientBoosting,Normal Test,46,1150,0.7216481064048522,1.2210999332232626,0.9875913131919613
HistGradientBoosting,Normal Test,47,1140,1.19024091375975,1.7235473924345293,0.9631211004018085
HistGradientBoosting,Normal Test,60,1150,0.8547158846152163,0.9903827537744782,0.987382581948799
HistGradientBoosting,Normal Test,66,1150,1.1554630283472582,1.34965598084187,0.9797094130135438
HistGradientBoosting,Normal Test,69,1125,0.5212206828107456,0.68228204677134,0.9951611186221255
HistGradientBoosting,Normal Test,71,1070,1.2546288457979777,1.7671809177351423,0.9757769743033221
HistGradientBoosting,Normal Test,77,1025,0.3800170503899667,0.5943711207719385,0.9961587437527349
HistGradientBoosting,Normal Test,83,1205,1.0982139255791918,1.4791358799144048,0.9751636969997488
HistGradientBoosting,Fault Test,91,1290,5.945877099008071,6.909720680391277,-6.861628155480577
HistGradientBoosting,Fault Test,92,1150,0.7678706273344429,1.1255997267821756,0.9819520887951346
HistGradientBoosting,Fault Test,93,1050,1.270936311800708,1.6346240132286998,0.9769982513934181
HistGradientBoosting,Fault Test,94,1150,3.3212122995056945,4.399458589417886,-0.25474223710963373
HistGradientBoosting,Fault Test,95,1055,3.7329815783382463,4.856560097859953,-0.8260847393546338
HistGradientBoosting,Fault Test,96,1150,1.1050429903064602,2.000978811023034,0.9568991273863574
HistGradientBoosting,Fault Test,97,1125,1.742865071209477,2.1155002783131724,0.9352155529023112
HistGradientBoosting,Fault Test,98,1150,1.403728180574756,2.338435808672547,0.9586728096570829
HistGradientBoosting,Fault Test,99,1255,2.691339888902165,3.619090451466321,0.18694104042069082
HistGradientBoosting,Fault Test,100,1150,5.250067758713494,7.038105418144033,-2.9246533531271033
